Rk,Date,Tm,Opp,GS,MP,FG,FGA,FG_percent,ThreeP,ThreePA,ThreeP_percent,FT,FTA,FT_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Plus.Minus,TS_percent,eFG_percent,ORB_percent,DRB_percent,TRB_percent,AST_percent,STL_percent,BLK_percent,TOV_percent,USG_percent,ORtg,DRtg,Season,WL,Year,TmPTS,All_star
13,5/3/11,OKC,MEM,0,30.35,5,9,0.556,0,3,0,11,11,1,0,3,3,5,3,1,2,4,21,21.2,4,0.759,0.556,0,11.9,6.6,26.3,5.1,2.3,12.6,24.4,148,104,playoffs,W,2011,121,1
14,5/7/11,OKC,MEM,0,25.42,4,9,0.444,1,5,0.2,3,3,1,2,3,5,2,1,2,2,2,12,10.6,-20,0.581,0.5,7.9,11.4,9.7,16.3,2.2,5.2,16.2,22.1,112,104,playoffs,L,2011,115,1
15,5/9/11,OKC,MEM,0,49.42,4,11,0.364,1,6,0.167,10,10,1,2,5,7,7,0,3,1,2,19,21,17,0.617,0.409,5.4,10.3,8.2,23.5,0,4.3,6.1,15.6,147,112,playoffs,W,2011,107,0
16,5/11/11,OKC,MEM,0,26.47,4,8,0.5,1,4,0.25,0,0,0,1,5,6,5,0,0,3,2,9,6.9,29,0.563,0.563,4.5,21.1,13.1,30.5,0,0,27.3,19.1,104,84,playoffs,W,2011,107,1
17,5/13/11,OKC,MEM,0,39.33,5,10,0.5,2,5,0.4,2,3,0.667,0,6,6,5,0,0,2,2,14,11.1,-5,0.618,0.6,0,17.4,8.9,24.5,0,0,15,16.2,113,105,playoffs,L,2011,94,1
18,5/15/11,OKC,MEM,0,31.17,6,10,0.6,4,8,0.5,1,4,0.25,0,4,4,3,4,1,1,0,17,18.2,24,0.723,0.8,0,13.4,7.4,16.6,7.3,2.1,7.8,19.6,136,96,playoffs,W,2011,118,1
19,5/17/11,OKC,DAL,0,35.92,5,9,0.556,1,4,0.25,1,1,1,0,2,2,4,1,1,0,4,12,11.2,-13,0.636,0.611,0,8.4,3.9,19.6,1.5,2.7,0,12.1,147,135,playoffs,L,2011,104,1
20,5/19/11,OKC,DAL,0,32.35,6,9,0.667,4,7,0.571,7,8,0.875,0,7,7,4,2,0,0,2,23,24.8,14,0.919,0.889,0,24.2,13.8,19.7,3.5,0,0,19.5,196,108,playoffs,W,2011,108,1
21,5/21/11,OKC,DAL,0,35.75,2,9,0.222,0,4,0,3,4,0.75,2,7,9,1,1,0,2,2,7,3.5,5,0.325,0.222,6.7,22.4,14.7,5.5,1.5,0,15.7,16.5,72,106,playoffs,L,2011,117,1
22,5/23/11,OKC,DAL,0,22.88,3,5,0.6,0,0,0,1,2,0.5,0,7,7,2,1,0,4,6,7,2.4,4,0.595,0.6,0,40.5,18.4,13.2,2.2,0,40.5,18.2,75,107,playoffs,L,2011,121,1
23,5/25/11,OKC,DAL,0,34.35,7,11,0.636,1,5,0.2,8,10,0.8,1,4,5,6,1,0,2,1,23,22,3,0.747,0.682,3.1,11.6,7.5,33.2,1.6,0,11.5,22.9,147,114,playoffs,L,2011,125,1
24,4/28/12,OKC,DAL,0,34.52,4,7,0.571,2,4,0.5,9,10,0.9,2,4,6,3,1,0,5,3,19,14.8,-1,0.833,0.714,6.8,15,10.7,12.9,1.5,0,30.5,22.4,124,112,playoffs,W,2012,111,1
25,4/30/12,OKC,DAL,0,33.9,2,7,0.286,1,3,0.333,10,10,1,0,7,7,5,3,0,1,2,15,17.7,16,0.658,0.357,0,22.5,13.8,26.1,4.6,0,8.1,17.5,140,100,playoffs,W,2012,113,1
26,5/3/12,OKC,DAL,0,26.35,3,10,0.3,0,2,0,4,6,0.667,0,4,4,4,3,0,1,4,10,7.8,17,0.396,0.3,0,16.2,8,23.9,6.1,0,7.3,24.7,91,82,playoffs,W,2012,94,1
27,5/5/12,OKC,DAL,0,34.43,11,16,0.688,3,4,0.75,4,5,0.8,0,5,5,5,3,1,2,3,29,27.3,16,0.797,0.781,0,15.8,8.9,29.5,4.7,2.3,9.9,29.1,145,102,playoffs,W,2012,112,1
28,5/14/12,OKC,LAL,0,24.45,4,11,0.364,0,4,0,9,10,0.9,0,2,2,1,2,0,2,3,17,10.6,3,0.552,0.364,0,8.9,4.7,5.4,4.5,0,11.5,34.2,108,103,playoffs,W,2012,119,1
29,5/16/12,OKC,LAL,0,27.32,3,8,0.375,1,3,0.333,6,6,1,0,3,3,2,2,1,5,3,13,7.4,5,0.611,0.438,0,12.9,6.8,14.8,4.3,2.8,32,30.9,88,88,playoffs,W,2012,130,1
30,5/18/12,OKC,LAL,0,29.05,4,13,0.308,2,5,0.4,11,12,0.917,0,4,4,1,3,0,1,5,21,15,1,0.574,0.385,0,18.4,8.2,6.3,5.7,0,5.2,30.5,125,107,playoffs,L,2012,135,1
31,5/19/12,OKC,LAL,0,32.57,2,11,0.182,1,6,0.167,7,8,0.875,0,6,6,3,0,0,1,3,12,6.4,8,0.413,0.227,0,18.4,10.8,12.6,0,0,6.4,24.1,97,119,playoffs,W,2012,120,1
32,5/21/12,OKC,LAL,0,30.6,6,10,0.6,1,2,0.5,4,4,1,1,7,8,4,1,0,1,3,17,16.8,19,0.723,0.65,3.4,27.5,14.6,19.3,1.7,0,7.8,17.9,147,96,playoffs,W,2012,149,1
33,5/27/12,OKC,SAS,0,30.93,7,17,0.412,5,9,0.556,0,0,0,2,4,6,1,2,0,4,5,19,9.2,-11,0.559,0.559,6.6,13.5,10,6.4,3.2,0,19,30.7,91,105,playoffs,L,2012,111,1
34,5/29/12,OKC,SAS,0,33.92,10,13,0.769,0,1,0,10,13,0.769,2,5,7,4,2,0,0,6,30,29,3,0.801,0.769,5.8,22.1,12.2,24.8,3,0,0,23.3,174,125,playoffs,L,2012,122,1
